State,District,Level,Name,TRU,TRU1,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
01,001,DISTRICT,Kupwara,Total,2379.00,113929,870354,474190,396164,188798,100459,88339,1048,1046,2,70352,36913,33439,439654,282823,156831,430700,191367,239333,229064,190899,38165,123837,111713,12124,14585,12171,2414,9834,8804,1030,2571,1842,729,96847,88896,7951,105227,79186,26041,20095,13733,6362,46925,41745,5180,5375,2621,2754,32832,21087,11745,75096,56816,18280,13992,10175,3817,31482,28257,3225,4159,2024,2135,25463,16360,9103,30131,22370,7761,6103,3558,2545,15443,13488,1955,1216,597,619,7369,4727,2642,641290,283291,357999
01,002,DISTRICT,Badgam,Total,1361.00,103363,753745,398041,355704,155202,84720,70482,368,343,25,23912,12383,11529,335649,207741,127908,418096,190300,227796,214866,162578,52288,132003,116865,15138,34173,31582,2591,11560,10877,683,14401,10652,3749,71869,63754,8115,82863,45713,37150,21126,9351,11775,25070,17395,7675,14701,5928,8773,21966,13039,8927,62073,36028,26045,14544,6883,7661,19359,13719,5640,10878,4780,6098,17292,10646,6646,20790,9685,11105,6582,2468,4114,5711,3676,2035,3823,1148,2675,4674,2393,2281,538879,235463,303416
01,003,DISTRICT,Leh(Ladakh),Total,45110.00,21909,133487,78971,54516,12016,6174,5842,488,444,44,95857,47543,48314,93770,62834,30936,39717,16137,23580,75079,53265,21814,57125,44742,12383,11175,6303,4872,593,304,289,502,188,314,44855,37947,6908,17954,8523,9431,9694,3490,6204,1052,454,598,518,107,411,6690,4472,2218,16243,7697,8546,8867,3177,5690,866,374,492,453,90,363,6057,4056,2001,1711,826,885,827,313,514,186,80,106,65,17,48,633,416,217,58408,25706,32702
01,004,DISTRICT,Kargil,Total,14036.00,18338,140802,77785,63017,19928,10078,9850,18,12,6,122336,62652,59684,86236,56301,29935,54566,21484,33082,51873,39839,12034,28941,25174,3767,1834,1102,732,524,279,245,272,207,65,26311,23586,2725,22932,14665,8267,6432,3164,3268,3239,1566,1673,950,274,676,12311,9661,2650,15528,10021,5507,4148,1982,2166,2269,1117,1152,687,181,506,8424,6741,1683,7404,4644,2760,2284,1182,1102,970,449,521,263,93,170,3887,2920,967,88929,37946,50983
01,005,DISTRICT,Punch,Total,1674.00,90261,476835,251899,224936,84674,44733,39941,556,406,150,176101,90274,85827,261724,163333,98391,215111,88566,126545,161393,117677,43716,73247,63147,10100,17902,15566,2336,5917,4958,959,1187,819,368,48241,41804,6437,88146,54530,33616,36362,22076,14286,25666,19737,5929,2743,904,1839,23375,11813,11562,61416,41093,20323,22462,15117,7345,20158,16264,3894,1795,661,1134,17001,9051,7950,26730,13437,13293,13900,6959,6941,5508,3473,2035,948,243,705,6374,2762,3612,315442,134222,181220
01,006,DISTRICT,Rajouri,Total,2630.00,130401,642415,345351,297064,108271,58051,50220,48157,25170,22987,232815,121374,111441,364109,224469,139640,278306,120882,157424,290912,184752,106160,130377,110114,20263,43100,34752,8348,6148,5205,943,1655,1108,547,79474,69049,10425,160535,74638,85897,93427,47002,46425,17868,11153,6715,3001,796,2205,46239,15687,30552,103023,50679,52344,57231,30796,26435,12491,8200,4291,2140,579,1561,31161,11104,20057,57512,23959,33553,36196,16206,19990,5377,2953,2424,861,217,644,15078,4583,10495,351503,160599,190904
01,007,DISTRICT,Kathua,Total,2502.00,119583,616435,326109,290326,83936,45833,38103,141224,74644,66580,53307,27693,25614,389204,228499,160705,227231,97610,129621,200431,161548,38883,142847,123404,19443,46391,39107,7284,10152,8985,1167,2226,1676,550,84078,73636,10442,57584,38144,19440,23142,12494,10648,11414,8613,2801,1726,837,889,21302,16200,5102,44034,29942,14092,17047,9662,7385,8728,6814,1914,1401,676,725,16858,12790,4068,13550,8202,5348,6095,2832,3263,2686,1799,887,325,161,164,4444,3410,1034,416004,164561,251443
01,008,DISTRICT,Baramula,Total,4243.00,152635,1008039,534733,473306,164581,88321,76260,1476,1451,25,37705,20237,17468,545149,337170,207979,462890,197563,265327,304200,249581,54619,187959,169496,18463,31114,28357,2757,19159,18143,1016,7650,5545,2105,130036,117451,12585,116241,80085,36156,26381,14785,11596,43087,35173,7914,7434,3550,3884,39339,26577,12762,87513,62378,25135,17802,10823,6979,31594,26821,4773,5733,2763,2970,32384,21971,10413,28728,17707,11021,8579,3962,4617,11493,8352,3141,1701,787,914,6955,4606,2349,703839,285152,418687
01,009,DISTRICT,Bandipore,Total,345.00,58392,392232,207680,184552,61754,32641,29113,392,375,17,75374,39398,35976,185979,117058,68921,206253,90622,115631,149317,101380,47937,75173,64904,10269,10778,9878,900,9423,7881,1542,9526,6916,2610,45446,40229,5217,74144,36476,37668,17454,6877,10577,23459,13764,9695,10958,4384,6574,22273,11451,10822,51874,27971,23903,10581,4769,5812,16113,10191,5922,8486,3720,4766,16694,9291,7403,22270,8505,13765,6873,2108,4765,7346,3573,3773,2472,664,1808,5579,2160,3419,242915,106300,136615
01,010,DISTRICT,Srinagar,Total,1979.00,191678,1236829,651124,585705,158300,84897,73403,1068,995,73,8935,5021,3914,748584,431746,316838,488245,219378,268867,407188,333151,74037,330547,289800,40747,6602,5616,986,6513,6013,500,12577,9994,2583,304855,268177,36678,76641,43351,33290,5626,2803,2823,3895,2854,1041,7518,2092,5426,59602,35602,24000,67189,38465,28724,4789,2498,2291,3056,2289,767,5448,1787,3661,53896,31891,22005,9452,4886,4566,837,305,532,839,565,274,2070,305,1765,5706,3711,1995,829641,317973,511668
